,user,text,favorite_count,retweet_count,created_at
142,elonmusk,@zerohedge Wow,4089,285,2023-04-12 21:21:02+00:00
143,elonmusk,@ZubyMusic @ChrissieMayr Yeah,4883,144,2023-04-12 21:20:41+00:00
144,elonmusk,@zerohedge Buffett is earning crazy money from his Treasury bills,13519,1188,2023-04-12 21:18:19+00:00
145,elonmusk,@Jason @BBCWorld Unreal,2958,158,2023-04-12 21:15:35+00:00
146,elonmusk,@NPR Hello? https://t.co/7WzhTMc5fq,23651,2273,2023-04-12 21:13:42+00:00
147,elonmusk,@TeslaTruckClub 🤣🤣,2057,86,2023-04-12 21:12:50+00:00
148,elonmusk,@medicgordus Good find,1250,73,2023-04-12 21:12:11+00:00
149,elonmusk,@DrJBhattacharya Exactly,22464,1761,2023-04-12 21:07:11+00:00
150,elonmusk,@BillyM2k @unusual_whales Tough sledding until spring next year is my best guess,4362,360,2023-04-12 19:39:27+00:00
151,elonmusk,"@BBCWorld I do say in the interview that I have a lot of respect for the @BBC. No organization is perfect, or course, but the BBC overall quite good.",31658,1762,2023-04-12 19:15:43+00:00
152,elonmusk,Guess they won’t mind losing Federal funding in that case 🤷‍♂️,90699,7347,2023-04-12 19:08:02+00:00
153,elonmusk,🤣🤣 https://t.co/mwMbaRZR6w,119883,11854,2023-04-12 19:07:08+00:00
154,elonmusk,"NPR literally said “Federal funding is essential to public radio” on their own website (now taken down). 

What hypocrites! https://t.co/kYAXW0zpyl",174214,27967,2023-04-12 19:05:30+00:00
155,elonmusk,Defund @NPR,238063,28651,2023-04-12 18:54:34+00:00
156,elonmusk,https://t.co/krmcbhutr0,159759,14248,2023-04-12 18:53:35+00:00
157,elonmusk,"@BillyM2k This will make some people upset, but I need to emphasize that accelerating synthetic mRNA technology was another silver lining. It is a revolution in medicine, like going from analog to digital.

The Covid mRNA vaccine dosage level was too high and having a zillion booster shots… https://t.co/WGFShOmiU9",15300,1844,2023-04-12 18:36:44+00:00
158,elonmusk,@cb_doge @BBCWorld Super important,17155,906,2023-04-12 18:05:09+00:00
159,elonmusk,@MuskUniversity Yeah,3487,223,2023-04-12 17:38:30+00:00
160,elonmusk,@BillyM2k 🎯,18581,754,2023-04-12 17:14:40+00:00
161,elonmusk,@cb_doge @BBCWorld Seriously 🤣🤣,13547,624,2023-04-12 17:12:35+00:00
162,elonmusk,"@TheRabbitHole84 Exactly, “misinformation” is indeed the Trojan horse for censorship",17494,1920,2023-04-12 17:11:38+00:00
163,elonmusk,@TheBabylonBee 🤣🤣,18924,802,2023-04-12 17:10:45+00:00
164,elonmusk,@TeslaOwnersEBay @Twitter What more could you ask for in a CEO!?,34041,2230,2023-04-12 17:09:22+00:00
165,elonmusk,@0xgaut The Singularity is near,8682,729,2023-04-12 17:05:05+00:00
166,elonmusk,@DrJimFan !,2951,200,2023-04-12 16:53:51+00:00
167,elonmusk,@Liv_Boeree @micsolana Exactly,798,57,2023-04-12 16:48:51+00:00
168,elonmusk,This time with video &amp; better audio https://t.co/js4nTQSSh3,318857,53678,2023-04-12 16:22:49+00:00
169,elonmusk,@ggreenwald @ISDglobal Same cast of characters every time,13500,1280,2023-04-12 16:13:10+00:00
170,elonmusk,@ggreenwald This is super messed up!,22205,2090,2023-04-12 16:11:43+00:00
171,elonmusk,@WallStreetSilv 🔥🔥,78170,3256,2023-04-12 08:06:29+00:00
172,elonmusk,@KanekoaTheGreat @DavidSacks Absolutely,10676,869,2023-04-12 08:00:06+00:00
173,elonmusk,@alx He has black turtleneck &amp; husky voice – what more do you need!?,22172,1305,2023-04-12 07:48:05+00:00
174,elonmusk,@farzyness Yeah,16879,671,2023-04-12 07:42:22+00:00
175,elonmusk,"I said BBC could come Twitter, then, to my surprise, a reporter shows up",233708,14644,2023-04-12 07:41:35+00:00
176,elonmusk,Penetrating deep &amp; hard with @BBC https://t.co/3UXiHB6DAl,173430,23541,2023-04-12 07:25:42+00:00
